anio,estado,clave_siinah,recinto,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext,abril_nac,abril_ext,mayo_nac,mayo_ext,junio_nac,junio_ext,julio_nac,julio_ext,agosto_nac,agosto_ext,septiembre_nac,septiembre_ext,octubre_nac,octubre_ext,noviembre_nac,noviembre_ext,diciembre_nac,diciembre_ext
2024,Chiapas,2401000,Museo de los Altos de Chiapas,1869,542,2206,589,2580,536,1953,330,1976,45,1973,195,2733,399,2646,509,1239,204,1465,390,1731,590,2051,358
2024,Chiapas,2400900,Museo Arqueológico del Soconusco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Chiapas,2400800,Museo Arqueológico de Comitán,600,31,632,23,725,29,549,20,600,0,595,5,753,35,391,8,0,0,0,0,424,39,459,13
2024,Chihuahua,2401100,Museo de la Revolución en la Frontera,3628,163,2669,0,2777,0,3108,265,4118,214,3977,233,3299,235,2928,193,2303,257,4048,0,4699,202,2049,85
2024,Ciudad de México,2100100,Museo Nacional de Antropología,305729,37973,346950,31769,393764,40241,190590,29000,185802,29917,213622,29175,249822,32909,261564,30672,265360,27437,307886,39376,321675,62798,302352,45140
2024,Ciudad de México,2100200,Museo Nacional de Historia,216302,32536,188792,25771,164289,25174,267835,28371,143051,20269,137047,27738,189371,25387,275790,25508,170815,22791,166809,25154,217292,35659,167433,26034
2024,Ciudad de México,2100300,Museo Nacional de las Culturas del Mundo,20364,4935,27286,4579,24400,6665,16514,5835,10573,3248,9267,2265,13878,5002,15976,4513,18783,4209,26318,5798,19775,4609,14823,5290
2024,Ciudad de México,2100400,Museo Nacional de las Intervenciones,8125,103,9508,90,14642,130,7854,96,6989,79,5874,101,2737,77,3085,80,5960,84,8981,95,8627,76,5973,122
2024,Ciudad de México,2600100,Museo Casa Carranza,4013,7,3568,13,9159,9,4740,3,8716,1,13566,0,5646,0,4688,0,2727,0,3816,2,5097,18,4074,3
2024,Ciudad de México,2200200,Museo de El Carmen,2805,235,3650,239,5758,380,3224,294,3316,191,3693,175,6522,151,3824,164,4333,91,7991,158,9034,279,5018,165
2024,Ciudad de México,2200100,Galería de Historia,10698,0,10315,0,15937,0,14142,0,8357,0,7517,0,7174,0,6863,0,16821,0,12440,0,7583,0,5502,0
2024,Ciudad de México,2500500,Museo del Templo Mayor,32278,9094,33975,9218,51406,11612,30106,8794,24579,7017,24919,6784,32352,7884,26438,6406,26917,4922,36446,8101,34406,11635,33016,10928
